name,description,category,location,client_name,completion_date,project_value,key_features,challenges,solutions,image_url,gallery_images,is_featured,is_active,sort_order
NHSRCL Mumbai–Ahmedabad High Speed Rail – Package C8,MAHSR supply to packages C8 (SCC-VRS JV) and D2 (L&T).,bullet-train,,SCC-VRS JV,,,[],,,,[],False,True,0
NHSRCL Mumbai–Ahmedabad High Speed Rail – Sabarmati Depot D-2,MAHSR supply to packages C8 (SCC-VRS JV) and D2 (L&T).,bullet-train,,Larsen & Toubro,,,[],,,,[],False,True,0
Mumbai Metro,Mumbai Metro,metro-rail,,,,,[],,,,[],False,True,0
Ahmedabad–Gandhinagar Metro,Ahmedabad–Gandhinagar Metro,metro-rail,,,,,[],,,,[],False,True,0
Surat Metro,Surat Metro,metro-rail,,,,,[],,,,[],False,True,0
Jaipur Metro,Jaipur Metro,metro-rail,,,,,[],,,,[],False,True,0
North Western Railways (Track double laning),North Western Railways (Track double laning),metro-rail,,,,,[],,,,[],False,True,0
National Capital Region Transport Corporation,National Capital Region Transport Corporation,metro-rail,,,,,[],,,,[],False,True,0
"Northern Railways (Tunnelling, Structures and Track double laning)","Northern Railways (Tunnelling, Structures and Track double laning)",metro-rail,,,,,[],,,,[],False,True,0
Vadodara–Mumbai 8-lane PQC Expressway,Vadodara–Mumbai 8-lane PQC Expressway,roads,,,,,[],,,,[],False,True,0
Mumbai–Nagpur Expressway Samruddhi Mahamarg (PQC 8-lane),Mumbai–Nagpur Expressway Samruddhi Mahamarg (PQC 8-lane),roads,,,,,[],,,,[],False,True,0
Delhi–Vadodara Greenfield Eight-lane PQC Expressway,Delhi–Vadodara Greenfield Eight-lane PQC Expressway,roads,,,,,[],,,,[],False,True,0
Construction & Improvement of CC Roads (BMC),Construction & Improvement of CC Roads (BMC),roads,,,,,[],,,,[],False,True,0
Khambatki Ghat 6 Lane Tunnel Project,Khambatki Ghat 6 Lane Tunnel Project,roads,,,,,[],,,,[],False,True,0
Girvi–Phaltan Project (MSIDC),Girvi–Phaltan Project (MSIDC),roads,,,,,[],,,,[],False,True,0
Samakhiali–Santalpur 6 Lane Road Project (IRB Infra),Samakhiali–Santalpur 6 Lane Road Project (IRB Infra),roads,,,,,[],,,,[],False,True,0
Bharuch–Dahej Access Controlled Expressway (GHV Projects),Bharuch–Dahej Access Controlled Expressway (GHV Projects),roads,,,,,[],,,,[],False,True,0
Ahmedabad–Dholera 6 Lane Expressway (GHV India),Ahmedabad–Dholera 6 Lane Expressway (GHV India),roads,,,,,[],,,,[],False,True,0
Daman Devka Beach Road Project (RKC Infrabuilt),Daman Devka Beach Road Project (RKC Infrabuilt),roads,,,,,[],,,,[],False,True,0
Khed–Sinnar Road Project (Aadit Infra),Khed–Sinnar Road Project (Aadit Infra),roads,,,,,[],,,,[],False,True,0
