name,description,price,category_id,applications,features,image_url,is_active,usage,advantages,technical_specifications,packaging_info,safety_information,product_code,specification_pdf,created_at,updated_at
AntiCorr CN,Corrosion Inhibiting Admixture based on Nitrite,,corrosion_inhibitor,"[""Added to new concrete for corrosion protection of steel\r"",""Ideal for marine, coastal, and chloride-exposed structures""]","[""Forms protective layer on steel reinforcement\r"",""Minimizes corrosion from chlorides and aggressive agents""]",,1,"Added to new concrete for corrosion protection of steel
Ideal for marine, coastal, and chloride-exposed structures","Forms protective layer on steel reinforcement
Minimizes corrosion from chlorides and aggressive agents",,,,YP-ACCN,,2025-08-22 16:52:40,2025-08-22 17:03:52
AntiCorr FG,Bipolar corrosion inhibiting concrete admixture,,corrosion_inhibitor,"[""Extends life of reinforced concrete in corrosive environments\r"",""Used in repair and protection of RCC structures""]","[""Protects both anodic and cathodic zones of rebar\r"",""Reduces corrosion without increasing concrete resistivity""]",,1,"Extends life of reinforced concrete in corrosive environments
Used in repair and protection of RCC structures","Protects both anodic and cathodic zones of rebar
Reduces corrosion without increasing concrete resistivity",,,,YP-ACFG,,2025-08-22 16:52:40,2025-08-22 17:03:52
Super P UT,High range superplasticiser for workability and integral waterproofing,,admixtures,"[""Concrete where 5 to 20% water reduction is desired\r"",""Concrete where normal setting times are required""]","[""Provides better slump retention\r"",""Provides excellent workability\r""]",,1,"Concrete where 5 to 20% water reduction is desired
Concrete where normal setting times are required","Provides better slump retention
Provides excellent workability",,,,YP-SPUT,,2025-08-22 16:52:40,2025-08-22 17:03:52
SuperCure CC375,"Heat reflective, white pigmented, water-based wax emulsion-based curing compound",,curing_compound,"[""Curing large exposed concrete areas like highways and runways.​\r"",""Suitable for canal linings and other expansive surfaces.​""]","[""Reduces plastic cracking and surface dusting.​\r"",""Ensures designed strength attainment and minimizes shrinkage""]",,1,"Curing large exposed concrete areas like highways and runways.​
Suitable for canal linings and other expansive surfaces.​","Reduces plastic cracking and surface dusting.​
Ensures designed strength attainment and minimizes shrinkage",,,,YP-SCCC375,,2025-08-22 16:52:40,2025-08-22 17:03:52
SuperCure D120,"Resin-based, white pigmented curing compound with superb water retention efficiency",,curing_compound,"[""Curing freshly laid concrete surfaces.​\r"",""Sealing and dustproofing floors and walls.""]","[""Minimizes shrinkage cracks by retaining moisture.​\r"",""Compatible with various over-coatings""]",,1,"Curing freshly laid concrete surfaces.​
Sealing and dustproofing floors and walls.","Minimizes shrinkage cracks by retaining moisture.​
Compatible with various over-coatings",,,,YP-SCD120,,2025-08-22 16:52:40,2025-08-22 17:03:52
SuperCure X150,Aluminised synthetic resin-based for PQC,,curing_compound,"[""Curing compound for PQC roads and runways\r"",""Ideal for large exposed concrete surfaces""]","[""Reduces water loss, preventing shrinkage cracks\r"",""Improves surface strength and durability""]",,1,"Curing compound for PQC roads and runways
Ideal for large exposed concrete surfaces","Reduces water loss, preventing shrinkage cracks
Improves surface strength and durability",,,,YP-SCX150,,2025-08-22 16:52:40,2025-08-22 17:03:52
Test Superplasticizer,High-performance concrete admixture for testing,,admixtures,"[""Testing"",""Development"",""Quality Assurance""]","[""High performance"",""Easy to use"",""Cost effective""]",,1,,,,,,,,2025-08-22 16:52:40,2025-08-22 17:03:52
YP Accelerator,Accelerating admixture to reduce setting time of concrete,,accelerators,"[""Precast and prestressed concrete requiring high early strength\r"",""Cold weather concreting to accelerate strength gain""]","[""Allows for early stripping and re-use of forms.​\r"",""Facilitates faster finishing operations on flatwork surfaces""]",,1,"Precast and prestressed concrete requiring high early strength
Cold weather concreting to accelerate strength gain","Allows for early stripping and re-use of forms.​
Facilitates faster finishing operations on flatwork surfaces",,,,YP-YPA,,2025-08-22 16:52:40,2025-08-22 17:03:52
YP Bond EP,Epoxy resin concrete bonding agent,,structural_bonding,"[""Bonds old concrete to new concrete\r"",""Used in structural concrete repairs""]","[""Allows longer concrete placement without risk of delamination.\r"",""Provides bond strength higher than concrete’s tensile strength""]",,1,"Bonds old concrete to new concrete
Used in structural concrete repairs","Allows longer concrete placement without risk of delamination.
Provides bond strength higher than concrete’s tensile strength",,,,YP-YPBEP,,2025-08-22 16:52:40,2025-08-22 17:03:52
YP Crystal IP,Crystalline waterproofing admixture for mortar and concrete,,integral_waterproofing,"[""Waterproofing concrete basements, tanks, and substructures\r"",""Suitable for water-retaining and water-excluding structures""]","[""Self-heals micro-cracks through crystal growth\r"",""Provides long-term integral waterproofing durability""]",,1,"Waterproofing concrete basements, tanks, and substructures
Suitable for water-retaining and water-excluding structures","Self-heals micro-cracks through crystal growth
Provides long-term integral waterproofing durability",,,,YP-YPCIP,,2025-08-22 16:52:40,2025-08-22 17:03:52
